,ID,Type,Language_1,Lexemes_1,Meanings_1,Meaning_1,Direction,Languages_2,Lexemes_2,Meanings_2,Meaning_2
0,shift0007, Semantic evolution,"Ancient Greek, Irish Gaelic","Ancient Greek: [μετατρέπω], Irish Gaelic: [iompaigh]","μετατρέπω: [to turn back], iompaigh: [to turn, rotate (intr.)]","to turn back,to turn, rotate (intr.)",→,"Ancient Greek: [Modern Greek], Irish Gaelic: [Irish Gaelic]","μετατρέπω: [μετατρέπω], iompaigh: [iompaigh]","μετατρέπω: [to transform], iompaigh: [to become]","to transform,to become"
1,shift0008, Semantic evolution,Irish Gaelic,Irish Gaelic: [eolas],eolas: [to know],to know,→,Irish Gaelic: [Irish Gaelic],eolas: [eolas],eolas: [to know how],to know how
2,shift0013, Semantic evolution,Irish Gaelic,Irish Gaelic: [comhair],"comhair: [to calculate, count]","to calculate, count",→,Irish Gaelic: [Irish Gaelic],comhair: [comhair],comhair: [to take into account],to take into account
3,shift0016, Semantic evolution,Irish Gaelic,Irish Gaelic: [milis],milis: [sweet (taste)],sweet (taste),→,Irish Gaelic: [Irish Gaelic],milis: [milis],"milis: [dear, darling]","dear, darling"
4,shift0035, Semantic evolution,"French, Irish Gaelic","French: [considérer], Irish Gaelic: [feic]","considérer: [to stare, to gaze], feic: [to see/to look at]","to stare, to gaze,to see/to look at",→,"French: [French], Irish Gaelic: [Irish Gaelic]","considérer: [considérer], feic: [feic]","considérer: [to consider], feic: [to have opinion]","to consider,to have opinion"
5,shift0048, Semantic evolution,Latin,Latin: [aura],"aura: [air, breeze]","air, breeze",—,Latin: [Romansh],aura: [aura],"aura: [(Rumantsch Grischun, Sursilvan) weather]","(Rumantsch Grischun, Sursilvan) weather"
6,shift0057, Semantic evolution,Bulgarian,Bulgarian: [хлапе],хлапе: [boy],boy,←,Bulgarian: [Old Church Slavonic],хлапе: [хлапъ],"хлапъ: [servant, slave]","servant, slave"
7,shift0066, Semantic evolution,Russian,Russian: [galdet'],"galdet': [to clamor, to make a racket]","to clamor, to make a racket",→,Russian: [Russian],galdet': [galdet'],"galdet': [to say, to speak]","to say, to speak"
8,shift0068, Semantic evolution,Latin,Latin: [mane],mane: [morning],morning,—,"Latin: [French,Romanian,Aromanian,Catalan]","mane: [demain,mâine,mãni, mãne,demà]","demain,mâine,mãni, mãne,demà: [tomorrow]",tomorrow
9,shift0072, Semantic evolution,Latin,Latin: [color],color: [flower],flower,→,Latin: [Late Latin],color: [colores (pl.)],colores (pl.): [colour],colour
